content,location,date,satisfaction,customer_service,speed,"reliability,"
Absolutly disgusted with bt I'm a new broadband customer and my service was supposed to have been activated last Tuesday today a week later still no broadband.After numerous heated conversations and a visit from an engineer I still have no broadband.I have now been told another engineer will be out on Monday..Nobody seems to know what they are doing it's a wonder they have any customers if this is how they treat a new one . I will be cancelling my contract that hasn't even started. You have been warned~~~,Bournemouth~~~,2018-11-12~~~,1,~~~,~~~,~~~
I have no other option but to get in touch with of ofcom  BT should not be allowed to carry on like this  endless phone calls to bt on my mobile I might add as My landline stopped working broadband works when it feels like it  a month later and open reach has to dig the road up which will be another week. I made a complaint and bt closed it with out even asking  they are a complete shambles!!!~~~,Cresselly~~~,2018-11-10~~~,~~~,~~~,~~~,~~~
Shocking service  router broke Monday and still waiting for a replacement Thursday. Probably have to switch to Sky.~~~,Buckinghamshire~~~,2018-11-08~~~,1,1,3,1
My advice is to find a different supplier BT is awful & their costomer service is even worse~~~,scotland ~~~,2018-11-06~~~,1,1,1,1
Speed is to low for consistent performance~~~,Newport~~~,2018-11-06~~~,2,1,1,3
Been with bt for 7 years since fibre was available in my area  I’ve got the fibre 2 package which the speeds were up until couple of weeks ago at near max 67mb  then after noticing speed was down to 45mb so I got in touch with them was told by a guy from bt that he sees the problem bangs on his keyboard for couple of mins then says give it 48 hours and it should be back to how it was  48 hours later still the same so I get back in touch with them another guy goes through the same dummy steps and says that he’s put it on record and they will look into it  week later still the same so ring them again and explain it woman says it could be the hub so she will send one out could take 3 days to come  3 days later no hub so get in touch with them again have to go through all the problems again with them even tho it was supposed to be on record so I wouldn’t have to explain! Anyway woman from bt says there is nothing down saying a hub was sent out and she is processing it now to get one out asap so couple days later hub arrives set it up try speed tests and it’s the same  so ring bt back up fella tells me that my speed is just over the minimum 46mb that was agreed with the contract  I try telling him that for all these years it was at max so we got the more expensive fibre 2 package now over time it’s gone down to a speed where a cheaper package would of right for us  But I hate the fact that over these years the internet price has gone up but the speed has gone down  he blamed my neighbors or closer to the exchange etc even Openreach were to blame!! Owned by bt I may add  anyway we agreed to it in contract so it’s tough poo!? Shocking company avoid peeps.~~~,Wrexham ~~~,2018-11-04~~~,1,1,2,2
BT broadband is terrible. My phone works faster on 4G. Keep well away.~~~,Bournemouth ~~~,2018-11-04~~~,1,1,1,1
You will spend just as much time bwing without internet as you will with internet. Every other month you will have a full 2-3 weeks of constant disconnections which wont allow you to get anything done.~~~,Bedfordshire~~~,2018-11-03~~~,1,1,3,1
Very poor. Unreliable more time spent trying to get reconnected. Do not bother~~~,London~~~,2018-11-01~~~,1,1,1,1
Easy to renew contract for phone and broadband.  Broadband speed quoted as minimum of 53 mbps but getting only 30.  Router log shows internet connection dropping out betweeb 20 and 40 times per day  generally during busy periods.  Definitely not getting value for £55 per month.  Telephone on same line having no problem.~~~,"Hook, Hampshire~~~",2018-10-31~~~,3,3,1,1
