content,location,date,satisfaction,customer_service,speed,"reliability,"
"Useless support  MY Broadband along with telephoen has not been working for a week. An engineer wroked out thata cable was broken 210 metres from my property  but closed teh job as ""fixed""  When I chased  apparently Bt have been calling me on my landline - yes the one that is not working  to discuss the fault  and I am now told that they can not fix the problem because there is a problem in their data base with my address - even though an engineer has already made the diagnosis.. What a complete and utter waste of time~~~",Cardinham ~~~,2017-03-08~~~,1,1,1,1
Its a shame there is no option to give zero stars to BT.   What an utterly awful company to deal with! No internet for over 2 weeks now and every time I call its the same pointless process over and over again. They send engineers who never turn up  try to charge me for their failures and waste hours of my day every time I deal with them. Please do yourselves a favour and DO NOT USE BT for anything~~~,Dorking~~~,2017-03-08~~~,1,1,1,1
This is the worst Broadband / Tv package deal I  have ever owned. I have lived all over essex ( also in the wild wilderness) and received a must faster  reliable and pain free service. Please do not be fooled by the cheap price of a package deal. Save your money and use carrier pigeon  even an untraine done from leicester square as you will have more chance of that working than what BT are installing. Honestly the product / service / customer care / attitude towards a bad service is absolutely terrible.~~~,Brentwood~~~,2017-03-07~~~,1,1,1,1
I would NEVER recommend BT. They have the worst customer service I have ever experienced. I have been dealing with a complaint from the moment I was mis-sold and misinformed at point of sale.   This complaint has been running for 4 month with having over 20 conversations with different people to then be told that I has been LIED to and to resolve the issue was give a poor £2 discount on my rate and a refund. I was then told that the discount no longer applied as the BT rates are going up (which proves that they have no customer loyalty) and that the refund that was MEANT to be credited to my future payments was also a lie. Every single word that has come from BT has been a lie and still now trying to resolve. AVOID AT ALL COSTS!~~~,London~~~,2017-03-07~~~,1,1,4,3
"Worst experience with a company on my 10 years in London! They are very disrespectful  untrustful  their staff are trained to be such a liars! We cancelled our service with BT because we were moving home and after they overcharged us charging another month and the cancel fee (which is fine). I called them at the same day that i was overcharged they did apologise saying the refund would be in my account in 10 working days  obviously didn't happen! My 9 months pregnant wife is trying to contact them  and after 25 minutes waiting on the line (which is normal) they answer her  the staff say a different history  put her on hold to check ""the case""  for another 30 min and turn off the phone! So  basically she needed to start everything again  explaining the "" case"" and the same thing happens over again! That's being happening for more than 3 weeks trying constantly. That's so disrespectful as every time you wait for almost an hour after listening a lie from their staff and finally turning the phone off through your face! This just make you feel sick! Basically we just gave up loosing sixty quid! Good luck with that BT ;-) Please do not ever trust them! Hopefully you will never need them help!  Kindest Regards   Daniel Franchini~~~",Hackney~~~,2017-03-07~~~,~~~,~~~,~~~,~~~
Worse experience with broadband ever!!!! 3month waiting for connection line. Promised conection date moved again. Very long wait for engineer visit.If had been given a choice would not had them as my provider  but its the only provider at my post code.~~~,Colindale~~~,2017-03-06~~~,1,1,1,1
Absolutely Abhorrent service  broadband cuts out repeatedly  customer service are rude and unhelpful and have no idea what they're doing. You get passed from pillar to post. Don't do it.~~~,Southampton~~~,2017-03-05~~~,1,1,1,1
No Problems with the broadband.Changed the terms 3 months in to contract upping the price.(annoying but they can do that) I invoked cancellation they cancelled it for the wrong date. apparently to cancel the cancellation it takes 24 hours. Sounds dumb and i have to call back to re -cancel. Sounds really dumb from a big firm like Bt.~~~,Manchester~~~,2017-03-05~~~,2,1,5,5
Having been a (overcharged against the market) customer of BT for 20 plus years  my 73 yr old mother has been told it is £30 to leave their broadband and phone service. And absolute disgrace  not in the terms and conditions when she joined  and pathetically explained as one part of BT has to charge another part of BT to disconnect at the exchange. This is effectively restrictive practice. An awful company that treats customers like numbers  not human beings. Avoid them at all costs. Not surprising that ofcom are forcing them to drop line rental prices  they will rip people off for as long as they can without legislation.~~~,Peterborough~~~,2017-03-05~~~,1,1,1,1
I am absolutely disgusted with the customer service at BT. 1 hour 4 minutes on the phone transferred to 5 different people to be told despite being within  my 30 day cancellation period due to price increase  that it doesn't stand as I have to give 30 days notice or transfer to another provider before the 30 days are up!! Which for me  according to the rather patronising customer service advisor  goes from the date of the email received on 8th Feb!! Apparantly I am tied in to a 24 month contract which still has another 11 months to run. I can honestly say I would have never agreed to this length contract as I am well aware deals change quickly along with better prices!! The customer service advisor within the cancellation team  (5th person I got transferred to!) came across as patronising and in the 18 years I've had a phone service I can honestly say I've never been more disgusted.  Roll on 11 months or the complaint being resolved so I can move to a provider that  offers good customer service and values its customers. I would never use BT or recommend them as a provider again.~~~,Mansfield~~~,2017-03-04~~~,1,1,2,2
