content,location,date,satisfaction,customer_service,speed,"reliability,"
I would give minus stars if I could!Worst customer service I have ever received!Charged me £90 a month. It was supposed to be an amazing deal for roughly £27 line rental and £7.99 for 10gb. There is no way I could've possibly gone over the usage by that much when I use my phone GB most of the time and I have a full time job away from home!!They're still charged me £90 a month for the last two months that I've unplugged the box and changed it with a Sky box. How could I have possibly used it then?!Apparently they're well within their rights to do this?!They're still charging my line rental when I'm paying it with Sky already it I have to pay a cancelation fee of another £90?! Do not go with BT. The customer service was terrible and so unhelpful. I spoke to 4-5 people in the space of 2 hours and apparently they couldn't give me a call back. So it cost me even more money to find out that I can do absolutely nothing and get absolutely no refund. They sounded so smug at the end of the conversation like they were about to burst out laughing! My friends and family are shocked and will be leaving BT once their contract terminates. I will pass this message to anyone and everyone that I possibly can. I am outraged. Thank you BT for 10 months of hell!! Another 2 to go!!~~~,Cheshire~~~,2015-12-16~~~,~~~,~~~,~~~,~~~
I don't trust them anymore they sign with me contract on different rate but every month they are charging more than that.Even I tried to discuss with them but they didn't listen to me.Don't recommend to anyone.~~~,London~~~,2015-12-15~~~,1,1,2,2
Waited from 8 am until 1.00 pm today at my sons house for a booked B T engineer to call to sort out his Broadband.If he wasnt there they would charge. They didnt turn up or call. On contacting B T was there an apology? No!! Son now has to wait to for weeks for these incompetent cowboys to try again. Couldnt organise the prov... in a brewery. And he is a new customer. First experience of B T And they are in the communication business - what a joke~~~,West Yorkshire~~~,2015-12-15~~~,~~~,~~~,~~~,~~~
I have had BT BB for years and only recently changed to Infinity.  I live in a rural area miles from the exchange so I had thought the Infinity would not be much faster.  Set up was easy and it has made a vast difference when downloading  especially on my SKY box  but also updates on computer and such like.  BT Broadband has always been reliable for me even on the old HUB3 and the new HUB 5 likewise. Love the new fast Infinity.  Unlike other reviews I have always had good customer service from BT.~~~,Oxford~~~,2015-12-14~~~,5,5,5,5
If I could give not stars to BT I would  joined them very recently as I was moving into a new house. The customer service is an absolute farce  it is outsourced to India  where most staff members seem to speak very little English  which therefore means it takes a very long time just to explain the simple reason you're calling. Second to this I've had the call staff outright lie to me  and also provide me with information that is completely incorrect  so much so I've told them that and they've still assured me it is correct. They told me the engineer didn't need access to the property  yet he did and I wasn't there. They then refused to tell me when I could reschedule the appointment to. They moved my broadband activation date by over two weeks  and neglected to tell me  which is an outrage as I need the internet to work. All in all I have been utterly flabbergasted by how much of a farce the customer service of BT is  and that they have the audacity to call themselves British Telecom. AVOID AT ALL COSTS.~~~,England~~~,2015-12-14~~~,1,1,1,1
Mmy advise is stay clear!!  There are so many hidden costs  loop holes for them to CHANGE the offers and add CHARGES.  And the customer services are more interested in getting additional services from you than fixing the ones you have with them.~~~,"Devon, UK~~~",2015-12-14~~~,1,1,2,1
Couldn't be unhappier with BT. The speed is okay AT BEST but what we have cuts out every few minutes. Trying to go on phone apps is just impossible if they require an internet connection and online gaming is a thing of the past. If I could reliability an honest rating I'd go with -5 stars. I will be switching to any other service as soon as possible. I highly recommend someone else.~~~,~~~,2015-12-12~~~,~~~,2,2,~~~
3 months of awful offshore telephone support which resulted in a service that could not be used from day 1  and a £300 early cancellation fee.  AVOID AT ALL COSTS - If something goes wrong you will regret it.~~~,Bristol~~~,2015-12-11~~~,1,1,1,1
"I have been with BT (latest version) now (not by choice) for around 6 months. I have moved into a rural area of the country and half expected this. On moving from my last location I did what normal people do and asked around the various internet providers  had a few offers but decided to go with BT. I have previously been with Virgin (who I say were flawless) and i miss this level of service as BT haven't lived anywhere near to them. I need to go onto my 3G internet if I want to do anything fast. My internet cuts off ""most reliable ever~~~",Linton on Ouse~~~,2015-12-11~~~,1,1,1,1
You know what dial-up was quicker than this. and woe betide if your connection is lost  you will spend hours on the phone to someone who doesn't care. At one point they switched my landline number with someone else! I am leaving.~~~,Kingston~~~,2015-12-11~~~,1,1,1,1
Had BT infinity broadband since September 2015 and it is now december 2015 and it has worked for one of those months  terrible service  terrible broadband avoid.~~~,Manchester~~~,2015-12-10~~~,1,1,1,1
BT & BT business has caused us lot of problems. They have most incompetent work force I have come across. For three and half years they charged twice amount they were supposed to charge us. BT has terminated our main number by mistake. They have put us on two broadband and two telephone lines. They were supposed to charge us one telephone line and one broadband. BT has terminated our broadband by mistake. They have accepted that it was BT's fault but they are not managing to rectify their mistake for twelve day. If care for your business or you need your services please avoid BT at any cost. I am happy to provide all reference number for my troubles.~~~,West Hampstead~~~,2015-12-09~~~,~~~,~~~,~~~,~~~
After many years of problems with talk talk  contacted BT.  I was assured that I would have a better service from BT  including the ability to discuss problems with an operator in the U.K..  In practice  the broadband has just been off for another three days (the seventh time this year) and again I have had to waste time talking to operators overseas (in India) some are very difficult to understand and some very unhelpful (one would not even discuss the fault  just said that we needed a new filter  which she would order for us - that was months ago - no filter ever received).  I have tried to contact an bt rep. in England  who could probably resolve the problems - but this seems to be impossible.  BT CUSTOMER SERVICE IS VERY BAD  the only difference with Talk Talk is that their operators seem to be in several coutries  whereas BT are all in India!.~~~,Norfolk~~~,2015-12-08~~~,1,~~~,~~~,2
