content,location,date,satisfaction,customer_service,speed,"reliability,"
Shocking service. Customer service is only helpful for textbook problems. Still awaiting my gift card  which is what enticed me as oppose to going to another provider!  Will be cancelling the whole families packages as they end their contacts. Clearly don’t value there customers at all. Moved my partner to virgin and was sent the equipment and I set it up within 3 days of ordering! And best bit is it is half the price for twice the speed!!!~~~,Nottingham~~~,2018-04-10~~~,1,1,1,1
I do not understand  how people can give such negative opinions about BT. After a several years horror with TalkTalk  switched to BT  and what? Everything works fine and smooth. Expected arround 26-30 Mbs down  got 51 constant speed as promised for BT Infinity 52! It is now 20 days from switch date. So  I adviced my son in law to switch as well! He did it and what??? ...happy  speed as promised 51 on every test.  Before switch I've got 10 to 16 from promised 76 Mbs. Disconnections twice a day  nightmare!!!TalkTalk always said and had an excuse  that this must have been a line problem  or router fault. Liars!!! This was a total waste of money and time with previous broadband provider  just excuses and apologies  never got a concrete advise! Call centre - rubbish  you are talking with Delhi. Chat rubbish  always problem to connect! At BT  you can do most things via www. They inform you via email  about every single issue. I do not gloryfy BT  but it is much better option  than TalkTalk and to be honest  other broadband providers  as I had to do with some of them earlier.~~~,Prestonpans~~~,2018-04-10~~~,5,5,5,5
Without a doubt the worst service I've ever had. Constant drop outs  and speed below 1mb/s. I've been complaining for over a year about the connection quality and still nothing has been done. Call center staff give you a different excuse depending on the day  engineers have not turned up to 5 appointments. I wouldn't use BT services if they were free.~~~,Swansea~~~,2018-04-10~~~,1,1,1,1
WHAT AN APPALLING COMPANY!!  Their service is atrocious.  When they started BT Sport they promised it would be free for customers so we signed up only for them to start charging us. when you call up to chat to them you get a rude someone who talks down to you and refuses to even listen to you just reading from a script. The broadband cut out ALL the time Third party engineers they sent out to fix problems would tell us how Mickey Mouse the wiring is and how we get any broadband service is a miracle  AND yet they feel they have the right to shout at us - the customer  surely the ones that keep them in business???  Please can we do something about these awful companies that take all our money for the worst service ever!!! I will not use BT which means I cannot have BT sport. Thank god Channel 5 have stepped to cover the MotoGP~~~,Cotswolds~~~,2018-04-08~~~,1,1,2,1
5 Routers Later Connection Still Drops  After contacting BT 6 times and 5 Hub5's later enough is enough. The router resets itself many times a day and all BT do is send another router. Clearly it's not the router and after some investigation it appears the BT network is overloaded. According to a professional BT wire everybody onto the same ring and that can not handle the bandwidth of everybody at peak times.  I contacted them a few weeks ago and they said they would monitor the connection. 8 router resets later over 4 days they claimed it had not dropped in the 4 days they was monitoring. Clearly they can't admit to the real issue.  They also told us that in their T&C's it states that the connection can drop up to 5 times a day so tough luck. I signed up for 2 year contract a year ago and I'm regretting it massively. Any gamers or people that need a solid connection for personal use I cant warn you enough. DON'T GET BT.~~~,Dartford~~~,2018-04-08~~~,1,1,3,1
Rang bt to request name change was informed or cas kr be changed due to having a credit check in that name. I can change my name with passport office mortgage and bank among many other credit accounts I hold. BT need to be more sympathetic and understanding and respect and individuals wish. Imagine shocking circumstances had occurred to that person and they cannot bear to see that name shame on your outdated and harsh service~~~,Swinton ~~~,2018-04-07~~~,1,1,~~~,~~~
WORST BROADBAND EVER!!!!!!! I am paying £35 a month and only getting 0.31 mb download speed!! This is a joke  went on online chat and she disconnected me before I solve my problem!!~~~,Runcorn~~~,2018-04-06~~~,~~~,~~~,~~~,~~~
They keep putting the price up without telling me  what a shower of crooks.~~~,Glasow~~~,2018-04-05~~~,1,1,1,1
Bt broadband from BT does not do what it says it will i was offered up to 32mg speed and yet i have never got over 25mgalmost every weekend i get up to 8mg yet i still pay the price for up to 32mg i then get emails asking me to take the higher broadband higher price and supposedly higher speeds yet BT's own engineers state i could never get over 32mg with the line i have now but still they push me into getting the higher broadband just so i have to pay more for the same as i get now something should be done about Bt and there practises~~~,bude cornwall~~~,2018-04-04~~~,3,1,3,1
It was reported that BT loses broadband customers over other providers (the Financial Times) and here is why!  I am a psychologist and normally I use large quantity of data to conduct analyses and draw conclusions very cautiously. In this case however  I have a definite answer to the question “why BT loses customer” because I am one (or rather I was one until a moment ago).  Reason #1 Speed does NOT matter  We signed up to a plan that was “up to 76 mbps” but we suffer from slow connection and constant internet drop-offs. It turned out that we received on average a 30 mbps broadband according to the engineer BT sent to our house  in the course of checking the problem. We thought it was not what we signed up to but BT insisted that they had provided “satisfactory” service.  We were told that a contract of “up to 76 mbps” means a service of 1-76 mbps and the guaranteed speed was determined by a rather mysterious equation that the BT server decided upon running a couple of weeks after the customer registered. Many factors could influence the guaranteed speed such as the service to a nearby household. Therefore  each line could be different and in our case the number was “17”. Therefore  we received a service of 30 which was faster than what we should receive. So BT could not admit they did not deliver a service they had promised despite we had been paying for a plan of 76mbps; excuse me  UP TO 76.  Reason #2 WiFi is NOT their problem (but mine  the customer’s) We were unable to watch a movie by streaming neither from Apple TV nor Fire TV because it would be constantly loading. When I mentioned this as an evidence of poor broadband service I was told that BT only guaranteed a wired connection and WiFi signals depended on too many factors that they could give no answer to a WiFi problem. As we already received “faster” speed than we should (not what we paid for though) the WiFi connectivity issue had nothing to do with their business. One of the technical support advisers was kind enough to suggest me to use a portable radio detector to look for the potential object that could significantly interfere with our WiFi signal in our house  but again  that was not what BT should be concerned about.  As a matter of fact  BT provided a signal extender to plug in beside the TV and for the TV box. Actually we constantly lost signal of TV channels too (the channels through the box not the antenna)  which indicated they were not so innocent an non-involvement of the WiFi problem. After all they knew a signal extender was necessary although it did not work.  Reason #3 Tick the box and kick the ball  As described above  the conflict between BT and us (the customer) was quite difficult to solve (even for a psychologist who studies problem solving). On the one hand BT thought they provided a satisfactory service (above 17); on the other hand we felt let down and not given what we paid for. There was a huge discrepancy between 30 and 76 after all.  When we started expressing our dissatisfaction and suggested we would leave BT as a result of this dissatisfaction  we were forced to speak to different persons from different teams  including customer service  technical support  and different levels of managers  at least 10 of them. All of them suggested something but could not improve our satisfaction which was a matter of fact. Why? See reason 1 and reason 2! Because speed does not matter to them and WiFi is not their problem.  In this dilemma  BT did employ the best strategy which was to tick the box and kick the ball. Each of the personnel said what they could (not doing anything please keep in mind they merely talked over the phone except for sending a person who confirmed that we did receive a speed of 30mbps) and then passed us to another person. I felt like I was talking to many tape recorders as they repeated the same things  such as “you have received a faster speed than you should”  so many times.  The end (or NEVER END) We paid a penalty to leave BT. We are celebrating because if there has to be a cost of breaking free  we were happy to pay for it. What matters here was to stop losing and suffering any longer.  Hooray BT should celebrate too: a customer PAID to leave  which in itself says a lot. My list of reasons were only based on one case but I can guarantee its veracity; the only shortcoming of this analysis is that the list of reasons to leave must be incomplete.~~~,leicester~~~,2018-04-02~~~,~~~,~~~,~~~,~~~
