content,location,date,satisfaction,customer_service,speed,"reliability,"
BT Infinity is a waste of time  energy and money. They are incapable of delivering on their own contract terms. Dismissive  rude and obnoxious customer service when trying to complain and escalate unresolved issues. Stay well away if you actually want any kind of decent service.~~~,London~~~,2018-03-14~~~,1,1,1,1
"As my current BT broadband/calls package is costing £37.99pm  I checked on BT website to find that ""new customers"" can get the package for £24.99. So I used the online chat - after a very long wait for an adviser - to ask if I could get a cheaper deal (or quit BT!). Eventually was rung and passed over to a sales adviser to whom I complained I felt I was paying too much and what better deal could he offer. He first offered a contract which was only £6 cheaper  then when I prevaricated he offered a 2 yr contract at £29pm - but only if I placed the order there and then (altho I would have 14 days to cancel on receipt of their confirming email). It was stated that if I didn't take the deal today  there was no guarantee it would be available on a subsequent enquiry!! Needless to say  I told him I was going to explore a different provider  and I hung up!! Bully boy tactics I will not abide.~~~",Midsomer Norton~~~,2018-03-14~~~,3,2,4,4
Oh...dear...a month ago my internet went offline. Engineer came out then it took a week to fix. A month later its down again. Call for engineer first meeting missed  arrange another  that was also missed too! Called to find out whats going on only to find put problem with exchange and ports...not acceptable. Its still down now and has been now for 2 weeks out of a month and keep blaming the ports and the exchange like they think we wont know wjat they mean when im involved in IT. They dont know what the problem is and the service is poor. I will not recommend bt to anyone. Avoid.~~~,Liverpool~~~,2018-03-12~~~,1,1,3,2
As existing BT customer just attempted to upgrade from copper to fibre (Infinity) Broadband.  As usual with BT this has worked OK technically  but horrendously / comically badly in terms of dealing with BT admin.  Started with an appalling website  very difficult (for a very frequent  online user) to determine current package and costs;  rip-off prices for loyal customers (new customer deals for £25/ month are £50/month for existing!); after two phone calls agreed a better price  but order confirmation entirely wrong (standard prices); two phone calls  one formal complaint and a month and not sorted out the pricing.  BT = B??? Terrible!~~~,Edinburgh~~~,2018-03-12~~~,2,1,4,4
Broadband speed is quite variable and the wifi signal often drops out.~~~,North Somerset~~~,2018-03-12~~~,3,4,3,3
BT Broadband is by far the worst service I have ever had. Thier speeds fluctuate from 2mbps to 50mbps constantly and very often disconnects you completely. After 5 days of no internet and numerous tests We had a new hub which they charged us £50 for and still nothing. When an engineer arrived he found we had been disconnected from the green box in the street. No apology no compensation. It's a disgrace.~~~,Wirral~~~,2018-03-11~~~,~~~,~~~,~~~,~~~
Moved the house 5 weeks ago and still got no service.Been pushed from pillar to the post.Very poor customer services spent hours on the phone.Been promised connection few times and there we are 5 weeks later still no internet no tv and no telephone.No goodwill gesture NOTHING.Thats how you get treated after being loyal customer for over 5 years.Another phone call today stating that the service that ment to be starting in 2 weeks was cancelled again.And all they had to say is sorry.Very poor customer service~~~,Milton Keynes ~~~,2018-03-11~~~,1,1,1,1
very bad at everything  never tell you the truth. nobody helps with your problem. THEY ALWAYS OVER CHARE  SO IF YOU CHECK YOUR BILL THEY WILL KEEP ON OVER CHARGING. WE WILL NEVER RECOMMEND.~~~,UXBRIDGE~~~,2018-03-10~~~,1,1,1,1
I foned on the 8th March   afternoon  I had a BT guy at my door by 845 the next morning in Dunoon. The man was very friendly and explained things very well and resolved my problem and  I felt that he did his job very well. All I know is he has jinger hair and works in dunoon. Great asset to your company.~~~,DUNOON~~~,2018-03-10~~~,5,5,5,5
I was recommended BT after ringing a company that would stop my contract with Virgin Media and set up a new contract with BT in my new area (VM doesn’t provide its services in Old Colwyn otherwise I’d have stayed with them) and I have never been so disappointment in my 5 years of living alone. I got told that my tv box and internet hub would be delivered on the 08/01/2018 which it was. And the engineer would be coming out on the morning of 09/01/2018 to install and set everything up for us. On the 09/01/2018 everything was also meant to go live(which it didn’t!!). No engineer turned up but when I opened the boxes  I found instructions that I was to set it all up myself. So I did and nothing. Rang BT to be spoken to like dirt and laughed at because I wasn’t sure if I had done it right. The woman hung up on me so my husband called back the next day as nothin was working still. The kind gentleman apologised and told us that he couldn’t get an engineer out until the following week. Following Tuesday  a young man came out and set it all up for me and left without seeing if it was working(which it was not) so another phone call to BT and they wanted me to wait a further two weeks for another engineer. I told them that was fine but I wasn’t paying for my services for the time I didn’t have them. The guy started shouting at me down the phone and hung up on me  AGAIN!! Two weeks  & several phone calls later  someone came out to my house and told me that the box didn’t work and he get them to send out another. 10 days later that turned up and I still wasn’t receiving the services. By this time I’d lost count of how many hours myself and my husband had spent on the phone to BT and they agreed to take money off my bill. SIX POUND was all they could take off my bill when 5/6 weeks into having the contract I had no services. I fought until I was blue in the face and eventually they let the bill go. I told them I wanted to leave BT & they told me it was £700 to cancel with them bc I was past the time line. BY ONE DAY!! They are bullies and their customer service is disgusting. Eventually they agreed I could come out of the contract after I threatened to take them to trading standards!! AVOID JOINING BT AT ALL COSTS. I’ve had to keep my internet contract with BT and I don’t haven’t had a problem since I was guided over the phone how to fix this. But I still wouldn’t recommend.~~~,Old Colwyn~~~,2018-03-09~~~,1,1,3,3
