content,location,date,satisfaction,customer_service,speed,"reliability,"
I had infinity installed last week in my new house and it was completely unreliable.On Monday I called them expecting to be on hold for hours  passed from person to person  etc.I got straight through to a foreign call center. Here we go I thought.How wrong I was. The guy was very efficient and actually listened to what I said. After he had performed a few tests his end he agreed there was a fault and escalated my case. He told me an engineer would go and check the main box and I would get a call back on Wednesday evening.Again I was skeptical.Anyway  on the Monday evening my broadband was completely down for an hour or so. Where they really fixing it this fast?By Tuesday it was working much better and on the Wednesday evening  as promised  I got a call from the same call center guy asking how my service was now.I said it seems much better. He said he would keep the case open anyway to make sure and send me a text. If I have any further problems he said to just reply to the text and BT will call me back within two hours.I'm a little astounded. This was great service. Quick  efficient and simple.I'm the first to give out bad reviews to companies that deliver bad service so thought I should post about how good this service was. Well done BT.~~~,St Austell~~~,2014-11-20~~~,5,5,4,4
I changed from sky to BT broadband because of their claims for a better service...... Worst mistake ever. Constantly loosing connection and all BT do is say they need to do checks on the line.~~~,Stourton~~~,2014-11-19~~~,~~~,~~~,~~~,~~~
Joined bt about a year ago and I have had a problem with line speeds from day one.As I write this review my line speed is only 0.84Mbps. Dispite regular complaints all I get is someone from a call centre halfway round the world telling me there is no problem with my line. I have even sent them screen shots of the results from BT wholesale speed test  to no avail. The one star rating I have given is way higher than BT deserves and once my contract is finished I will have the line removed and switch to mobile  may only give 3-4Mpbs but it is consistant 24/7. Anyone who moves to BT is insane (self included)~~~,Spennymoor~~~,2014-11-19~~~,1,1,1,1
"The worst company I've ever dealt with:- incompetent staff - unreliable speeds - unreliable wifi connection (the signal continually drops) I've raised the issue of the unreliable wifi connection and been told the wfi signal is ""not guaranteed"". I've been with BT for as long as I can remember but all I can say is the company is now in free fall. Would not recommend.~~~",London~~~,2014-11-19~~~,1,1,1,1
I would love say something nice about BT  but i'm using a Mobile Dongle to write this as they STILL haven't got my internet set up after failing to show up TWO WEEKS AGO. We had to book our appointment for today but as expected  they didn't come. I don't know why  they can't tell me why. They even tell me I have to wait 2 more days for a person to come down  to do it now. Useless company  useless customer service. Do NOT buy from this company  or you will just end up regretting it.~~~,~~~,2014-11-18~~~,~~~,~~~,~~~,~~~
Having been a BT customer since 2010 I have now got so fed up with their new customer offers that I have contaced them to cancel with the aim of moving to Plusnet and then returning in a year. However because I have a £1.31 discount till June 2015 they want to charge me £130 to leave - thats 10 years of the discount which in itself only lasts a year. So I asked to discuss it with a manager the call centre operative flatly refused to put me in touch with one - basically these are the rules take it or leave it. so I'm stuck with BT till June 2015 what a total Rip off~~~,Leyland~~~,2014-11-18~~~,1,1,4,4
Literally the worst company I have ever had to deal with. Their customer service team's only role is to delay you as much as possible until they fix the issue. They don't call you back  they pass you from one member to another so you have to keep repeating yourself. They make you repeat tests you have already done 5 times in the past day. The company can't keep a stable connection for more than 2 days at a time. DO NOT USE.~~~,~~~,2014-11-18~~~,1,1,1,1
BT is the slowest broadband service out there. Anyone reading this please heed this advice (Or you'll regret it). AVOID at ALL costs. I used to be on TalkTalk a few years ago in my old home and my internet connection was 54Mbps. With this 54Mbps broadband I was getting seriously good browsing speeds. Not only was I getting good browsing speeds  but streaming live video content  like sports etc  was effortless. I was also able to download torrent files at a rate of 2Mb/s. I judge how good/fast my broadband is by Peer to Peer (P2P) speeds. Fast forward 3 years and I have moved home and changed ISP. Switching is the biggest mistake I EVER made. I am on the Unlimited broadband package; and am getting a 144Mbps connection (Over twice what I was getting on TalkTalk). Strangley; my internet browsing is super Sloooooow  watching a Youtube video takes about 2-3 minutes to load and keeps freezing  so I have to keep refreshing. My torrent download speeds are maxed out at 700kbs (Over 3 times slower than with TalkTalk).~~~,Doesn't Matter~~~,2014-11-17~~~,1,3,1,1
I thought BT was a premier supplier we what a disappointment. Suffered 4 months of poor service after numerous calls engineers working on i still have a problem. Basically the product is not fit for purpose and you have to pay extra to sort their faulty product. Stay well away from BT~~~,Blackburn~~~,2014-11-17~~~,1,1,4,1
Completely screwed up my house move transfer  multiple calls to no avail... I wish I had an alternative!!~~~,Nairnshire~~~,2014-11-17~~~,1,1,~~~,~~~
