content,location,date,satisfaction,customer_service,speed,"reliability,"
if i could of put zero i would i have had problems with BT for a long time i will be reporting them to of com as they take no notice when you complain about the service you get but are happy to take your money. fuming~~~,durham~~~,2017-09-15~~~,1,1,1,1
If I could rate them any lower like -10 I would. For 3 months bt couldnt fix a problem with our internet  every single week we would have to go through an hour long process of registering the fault either by phone or live chat. Everytime they send an engineer they turn up whenever they decide without notification  fiddle with a few things n then say yep all good n not tell us what the problem is. It would work for 10hrs n then starting cutting in and out constantly. After 3 months they found a fault in line and switched us to another  since then (2 weeks) our speed has been pathetic 6 - 7 mbs down n 0.7 mbs up  this is when we pay for fibre optics upto 54mbs. All this hassle has nearly destroyed 2 businesses that need the internet my son has been trying to start and we also have spent hundreds of pounds replacing everything in the house incl phones  cables n a computer.~~~,"bratton, westbury, wiltshire~~~",2017-09-15~~~,1,1,1,1
Shocking service. Broadband infinity speeds of 1.5MB and has been as low as 450KB.BT tell me that fault is due to my internal wiring or router fault.Next door neighbour has same problem.I would be better off on dial up.~~~,Longburton~~~,2017-09-14~~~,1,1,1,1
Absolutely awful service. Moved house 2 months ago....still waiting for BT to connect my broadband! Today is the 8th time over the 2 month period that they have moved my connection date! I have had to call them each time to ask why I have not been connected on the promised date  only for them to apologise and tell me that their service is unacceptable... yet they are still to do anything about it! I have now been told connection will not be done for yet another week.  They keep blaming openreach (even though it's part of BT) I've not even had one call off a supervisor or case handler to update me on the situation! The worst company I have ever dealt with!!! Dispicable service!!! I have already contacted the ombudsman service  who will proceed with a case if this is not resolved by the beginning of October.~~~,South Wales~~~,2017-09-13~~~,~~~,~~~,~~~,~~~
Dreadful wasted an hour on the phone and 25mins online talking. Offered a deal on the phone. went away to think about it. called back that deal doesnt exsist. after a 20min wait they sent to online assistance which were rude and useless they sent me back to the people on the phone which tried sending me back to online assistance. so I'm going to Plusnet. BT = useless~~~,Falmouth~~~,2017-09-13~~~,~~~,~~~,~~~,~~~
Had appointments of engineer 3 times but never turned up. When I phoned  them  every time I was told there were  errors. Shocking !! Finally managed to cancel the service. I'm so glad I'm with them anymore. It is better not having broadband than their awful service.~~~,Aldershot ~~~,2017-09-12~~~,1,1,1,1
absolutely appalling broadband. go against their own terms and conditions. Stay away from BT. Horrendous and rude customer service. Will not let you out of contract when they guarantee at least 1mb and then your internet completely drops to 300kps ? Then when you ring they try to say it has to be to a wired device   when you tell them yes my laptop is connected to the box like you ask and yet they still try to give some stupid excuse. forget doing anything important even at 1am in the morning when noone else is on the internet and it is still a appalling. Wish i had stayed with sky wasnt the fastest broadband but was a lot more reliable and customer service is 5 star compared to bt.~~~,~~~,2017-09-12~~~,1,1,1,1
Poor service and even worse internet speeds. Regret changing from Sky.~~~,DERBY~~~,2017-09-12~~~,1,1,1,1
"Waited 2 weeks for an 'engineer' to come and set up my internet and tv. Was told that it was all in place the day before he came. When he came he was rude and the internet was not working so he just told me the instructions would be with it all and I would have to do it myself as the line was not working. He failed to feed back to BT that there was a problem. After spending all day on the phone to Indian call centres and having to go through the details time and again  I was told I would have to wait over a week for anyone to come out. I cancelled it all and went to Sky. BT then charged me for ""providing broadband service"" which I never used as I had no broadband! They said I would have to pay it as I didn't give them chance to come and fix it which was because I couldn't wait potentially weeks for them to come back. Their customer services is dreadful. Unhelpful and rude.~~~",Dollar~~~,2017-09-12~~~,1,1,1,1
Shocking  terrible service! Have called over 4 times to change my plan  then when I thought it was all sorted  they have billed me for my previous package i.e. they didn't change my package....so what the hell was I on the phone for hours for?? Also  I'm only allowed fibre optic which is expensive and unreliable. Live in a small one bedroom flat and the wifi doesn't work in the bedroom....~~~,London~~~,2017-09-12~~~,1,1,3,3
